65;PIEDBOEUFBENOIT;Piedboeuf;Benoit;MR;101
177;PIEDBOEUFBENOÃŽT;Piedboeuf;Benoit;MR;101
66;PIRLOTSÃ‰BASTIAN;Pirlot;Sébastian;PS;102
67;PIVINPHILIPPE;Pivin;Philippe;MR;103
68;PONCELETISABELLE;Poncelet;Isabelle;cdH;104
164;RASKINWOUTER;Raskin;Wouter;N-VA;105
69;REYNDERSDIDIER;Reynders;Didier;MR;150
70;SCHEPMANSFRANÃ‡OISE;Schepmans;Françoise;MR;106
165;SCOURNEAUVINCENT;Scourneau;Vincent;MR;107
71;SENESAELDANIEL;Senesael;Daniel;PS;108
72;SMAERSGRIET;Smaers;Griet;CD&V;109
135;SMEYERSSARAH;Smeyers;Sarah;N-VA;110
73;SOMERSINE;Somers;Ine;Open Vld;111
136;SPOORENJAN;Spooren;Jan;N-VA;112
74;TEMMERMANKARIN;Temmermans;Karin;sp.a;113
75;TERWINGENRAF;Terwingen;Raf;CD&V;114
76;THIÃ‰BAUTERIC;Thiébaut;Eric;PS;115
77;THIÃ‰RYDAMIEN;Thiéry;Damien;MR;116
78;THORONSTÃ‰PHANIE;Thoron;Stéphanie;MR;117
79;TOPALAIN;Top;Alain;sp.a;118
80;TURTELBOOMANNEMIE;Turtelboom;Annemie;Open Vld;119
137;UYTTERSPROTGOEDELE;Uyttersprot;Goedele;N-VA;120
81;VANBIESENLUK;Van Biesen;Luk;Open Vld;121
138;VANCAMPYOLEEN;Van Camp;Yoleen;N-VA;122
82;VANCAUTERCARINA;Van Cauter;Carina;Open Vld;123
83;VANDELANOTTEJOHAN;Vande Lanotte;Johan;sp.a;124
84;VANDENBERGHJEF;Van den Bergh;Jef;CD&V;125
85;VANDENPUTTIM;Vandenput;Tim;Open Vld;127
139;VANDEPUTSTEVEN;Vandeput;Steven;N-VA;105
86;VANDERMAELENDIRK;Van der Maelen;Dirk;sp.a;128
140;VANDEVELDEROBERT;Van de Velde;Robert;N-VA;129
109;VANHECKESTEFAAN;Van Hecke;Stefaan;Ecolo-Groen;130
110;VANHEESMARC;Van Hees;Marco;PTB-GO!;131
174;VANHEESMARCO;Van Hees;Marco;PTB-GO!;131
87;VANHESTEANN;Vanheste;Ann;sp.a;132
166;VANHOOFELS;Van Hoof;Els;CD&V;133
88;VANMECHELENDIRK;Van Mechelen;Dirk;Open Vld;134
178;VANPEELVALERIE;Van Peel;Valérie;N-VA;135
141;VANPEELVALERIE-ANNE;Van Peel;Valérie;N-VA;135
89;VANQUICKENBORNEVINCENT;Van Quickenborne;Vincent;Open Vld;136
90;VANROMPUYERIC;Van Rompuy;Eric;CD&V;137
142;VANVAERENBERGHKRISTIEN;Van Vaerenbergh;Kristien;N-VA;138
91;VANVELTHOVENPETER;Vanvelthoven;Peter;sp.a;139
92;VERCAMERSTEFAAN;Varcamer;Stefaan;CD&V;140
143;VERCAMMENJAN;Vercammen;Jan;N-VA;141
93;VERHERSTRAETENSERVAIS;Verherstraeten;Servais;CD&V;142
144;VERMEULENBRECHT;Vermeulen;Brecht;N-VA;143
145;VUYEHENDRIK;Vuye;Hendrik;Vuye&Wouters;144
94;WATHELETMELCHIOR;Wathelet;Melchior;cdH;32
111;WILLAERTEVITA;Willaert;Evita;Ecolo-Groen;145
167;WILMÃˆSSOPHIE;Wilmes;Sophie;MR;150
156;WILRYCXFRANK;Wilrycx;Frank;Open Vld;119
95;WINCKELFABIENNE;Winckel;Fabienne;PS;146
146;WOLLANTSBERT;Wollants;Bert;N-VA;147
147;WOUTERSVEERLE;Wouters;Veerle;Vuye&Wouters;148
96;YÃœKSELVELI;Yüksel;Veli;CD&V;149
63;Ã–ZENÃ–ZLEM;Özen;Öslem;PS;97
179;DELAMOTTEMICHEL;de Lamotte;Michel;cdH;32
182;CALOMNEGAUTIER;Calomne;Gautier;MR;150
180;VANDENBURREGILLES;Vanden Burre;Gillles;Ecolo-Groen;126
183;VANPETEGHEMVINCENT;Van Peteghem;Vincent;CD&V;21
184;LAMBRECHTANNICK;Lambrecht;Annick;sp.a;124
185;VANDERDONCKTWIM;Van der Donckt;Wim;N-VA;37
186;GALANTISABELLE;Galant;Isabelle;MR;52
187;CHABOTJACQUES;Chabot;Jacques;PS;36
188;CASIERYOURO;Casier;Youro;sp.a;132
